customer_state,avg_delay_days,total_orders
AL,-8.735362997658079,427
MA,-9.90625,800
SE,-10.002666666666666,375
ES,-10.64629213483146,2225
BA,-10.982622861797447,3683
CE,-11.103786816269285,1426
SP,-11.206455502680821,46441
MS,-11.229346485819976,811
PI,-11.52772466539197,523
SC,-11.568464730290456,4097
RJ,-12.009898889910202,14143
DF,-12.200424628450106,2355
GO,-12.294246815985947,2277
TO,-12.338709677419354,310
PB,-13.03754266211604,586
MG,-13.34461133477857,12916
PE,-13.450171821305842,1746
PR,-13.486103735174368,5649
RN,-13.952015355086372,521
RS,-14.134192075656285,6133
PA,-14.250474383301707,1054
MT,-14.571841851494696,1037
AM,-19.932515337423315,163
RO,-20.04029304029304,273
