customer_numeric_id,recommendations
3,"[Row(product_numeric_id=7235, rating=4.990710735321045), Row(product_numeric_id=986, rating=4.961010932922363), Row(product_numeric_id=2637, rating=4.838963031768799), Row(product_numeric_id=13674, rating=4.828683376312256), Row(product_numeric_id=5832, rating=4.682651519775391)]"
4,"[Row(product_numeric_id=12076, rating=2.3313636779785156), Row(product_numeric_id=7183, rating=2.199157953262329), Row(product_numeric_id=3363, rating=2.1476526260375977), Row(product_numeric_id=4725, rating=2.0684146881103516), Row(product_numeric_id=8381, rating=2.060822010040283)]"
8,"[Row(product_numeric_id=6699, rating=5.702728748321533), Row(product_numeric_id=6666, rating=5.006877899169922), Row(product_numeric_id=3478, rating=4.7479658126831055), Row(product_numeric_id=1855, rating=4.659812927246094), Row(product_numeric_id=5426, rating=4.6037092208862305)]"
20,"[Row(product_numeric_id=5655, rating=3.0666515827178955), Row(product_numeric_id=1239, rating=2.8099849224090576), Row(product_numeric_id=10512, rating=2.738595724105835), Row(product_numeric_id=3024, rating=2.7100186347961426), Row(product_numeric_id=12953, rating=2.682436227798462)]"
23,"[Row(product_numeric_id=1028, rating=2.076788902282715), Row(product_numeric_id=12065, rating=1.962031602859497), Row(product_numeric_id=3537, rating=1.8975446224212646), Row(product_numeric_id=3573, rating=1.893600583076477), Row(product_numeric_id=3396, rating=1.8451299667358398)]"
31,"[Row(product_numeric_id=3771, rating=15.621822357177734), Row(product_numeric_id=13835, rating=15.149444580078125), Row(product_numeric_id=6751, rating=14.900785446166992), Row(product_numeric_id=12859, rating=14.890889167785645), Row(product_numeric_id=6328, rating=14.45937728881836)]"
32,"[Row(product_numeric_id=1234, rating=3.9911751747131348), Row(product_numeric_id=1871, rating=3.955703020095825), Row(product_numeric_id=13960, rating=3.820807695388794), Row(product_numeric_id=9961, rating=3.8098299503326416), Row(product_numeric_id=4303, rating=3.7212464809417725)]"
39,"[Row(product_numeric_id=5962, rating=5.630103588104248), Row(product_numeric_id=8224, rating=5.59156608581543), Row(product_numeric_id=3871, rating=5.088813304901123), Row(product_numeric_id=5489, rating=5.0519819259643555), Row(product_numeric_id=4694, rating=5.031582832336426)]"
40,"[Row(product_numeric_id=2371, rating=5.298254489898682), Row(product_numeric_id=2903, rating=5.288595199584961), Row(product_numeric_id=12304, rating=5.1194539070129395), Row(product_numeric_id=6237, rating=5.109670639038086), Row(product_numeric_id=4802, rating=5.053966999053955)]"
53,"[Row(product_numeric_id=8387, rating=5.6584553718566895), Row(product_numeric_id=13870, rating=5.226139545440674), Row(product_numeric_id=29320, rating=4.976730823516846), Row(product_numeric_id=27623, rating=4.976730823516846), Row(product_numeric_id=10771, rating=4.976730823516846)]"
55,"[Row(product_numeric_id=1637, rating=4.968193531036377), Row(product_numeric_id=14324, rating=4.384284973144531), Row(product_numeric_id=258, rating=4.278119087219238), Row(product_numeric_id=29761, rating=4.229196071624756), Row(product_numeric_id=6283, rating=4.220053672790527)]"
59,"[Row(product_numeric_id=2377, rating=5.211003303527832), Row(product_numeric_id=6829, rating=5.174191951751709), Row(product_numeric_id=3517, rating=4.961010932922363), Row(product_numeric_id=3165, rating=4.827842712402344), Row(product_numeric_id=8634, rating=4.77372932434082)]"
60,"[Row(product_numeric_id=1192, rating=1.2001285552978516), Row(product_numeric_id=14275, rating=1.1085714101791382), Row(product_numeric_id=11427, rating=1.1027405261993408), Row(product_numeric_id=14161, rating=1.0972237586975098), Row(product_numeric_id=6857, rating=1.0959584712982178)]"
65,"[Row(product_numeric_id=2215, rating=4.968601226806641), Row(product_numeric_id=10793, rating=4.595510959625244), Row(product_numeric_id=2102, rating=4.559998512268066), Row(product_numeric_id=8608, rating=4.4087629318237305), Row(product_numeric_id=2497, rating=4.403854846954346)]"
75,"[Row(product_numeric_id=11255, rating=6.069076061248779), Row(product_numeric_id=3505, rating=5.848760604858398), Row(product_numeric_id=5678, rating=5.66998291015625), Row(product_numeric_id=3146, rating=5.565474987030029), Row(product_numeric_id=2774, rating=5.51747989654541)]"
85,"[Row(product_numeric_id=5175, rating=3.301767587661743), Row(product_numeric_id=7031, rating=3.281680107116699), Row(product_numeric_id=2518, rating=3.2268190383911133), Row(product_numeric_id=12795, rating=3.182028293609619), Row(product_numeric_id=6336, rating=3.1350746154785156)]"
90,"[Row(product_numeric_id=12455, rating=5.073302268981934), Row(product_numeric_id=7185, rating=5.0731329917907715), Row(product_numeric_id=4185, rating=5.054540634155273), Row(product_numeric_id=3404, rating=5.030783176422119), Row(product_numeric_id=1812, rating=4.9595561027526855)]"
100,"[Row(product_numeric_id=12696, rating=5.116531848907471), Row(product_numeric_id=12518, rating=5.073943614959717), Row(product_numeric_id=3660, rating=4.961010456085205), Row(product_numeric_id=5068, rating=4.742089748382568), Row(product_numeric_id=7881, rating=4.735863208770752)]"
114,"[Row(product_numeric_id=13157, rating=1.1251274347305298), Row(product_numeric_id=2030, rating=1.0707920789718628), Row(product_numeric_id=3465, rating=1.0694961547851562), Row(product_numeric_id=10479, rating=0.9931492209434509), Row(product_numeric_id=138, rating=0.9911223649978638)]"
137,"[Row(product_numeric_id=4165, rating=5.988615036010742), Row(product_numeric_id=5186, rating=5.030138969421387), Row(product_numeric_id=5077, rating=4.88429069519043), Row(product_numeric_id=5039, rating=4.819570541381836), Row(product_numeric_id=4898, rating=4.782721996307373)]"
139,"[Row(product_numeric_id=2357, rating=4.965549468994141), Row(product_numeric_id=3257, rating=4.771035671234131), Row(product_numeric_id=11283, rating=4.676541328430176), Row(product_numeric_id=3591, rating=4.66615104675293), Row(product_numeric_id=13160, rating=4.648953914642334)]"
141,"[Row(product_numeric_id=12914, rating=5.4654693603515625), Row(product_numeric_id=3239, rating=5.393472671508789), Row(product_numeric_id=6054, rating=5.37645959854126), Row(product_numeric_id=4685, rating=5.238810062408447), Row(product_numeric_id=12986, rating=5.234888553619385)]"
142,"[Row(product_numeric_id=8463, rating=3.457777976989746), Row(product_numeric_id=2295, rating=3.417910575866699), Row(product_numeric_id=6726, rating=3.3230931758880615), Row(product_numeric_id=1243, rating=3.2011163234710693), Row(product_numeric_id=13705, rating=3.1762263774871826)]"
145,"[Row(product_numeric_id=9506, rating=4.39298152923584), Row(product_numeric_id=2513, rating=4.251351356506348), Row(product_numeric_id=12858, rating=4.138088226318359), Row(product_numeric_id=5423, rating=4.130163669586182), Row(product_numeric_id=8693, rating=4.118861675262451)]"
148,"[Row(product_numeric_id=2033, rating=1.2762854099273682), Row(product_numeric_id=13182, rating=1.2584563493728638), Row(product_numeric_id=12479, rating=1.2571396827697754), Row(product_numeric_id=9195, rating=1.2507038116455078), Row(product_numeric_id=6523, rating=1.238806128501892)]"
151,"[Row(product_numeric_id=3361, rating=4.961010932922363), Row(product_numeric_id=5850, rating=4.9460248947143555), Row(product_numeric_id=10982, rating=4.782211780548096), Row(product_numeric_id=3827, rating=4.773379802703857), Row(product_numeric_id=9286, rating=4.769901275634766)]"
161,"[Row(product_numeric_id=11174, rating=5.695249557495117), Row(product_numeric_id=3378, rating=4.961010456085205), Row(product_numeric_id=6864, rating=4.933445453643799), Row(product_numeric_id=3100, rating=4.826873779296875), Row(product_numeric_id=10681, rating=4.740819454193115)]"
164,"[Row(product_numeric_id=2109, rating=4.997616291046143), Row(product_numeric_id=3078, rating=4.961010932922363), Row(product_numeric_id=1316, rating=4.835818767547607), Row(product_numeric_id=7857, rating=4.761073589324951), Row(product_numeric_id=4291, rating=4.69645357131958)]"
168,"[Row(product_numeric_id=6805, rating=4.40372371673584), Row(product_numeric_id=6640, rating=4.365779399871826), Row(product_numeric_id=1072, rating=4.3421854972839355), Row(product_numeric_id=2348, rating=4.29113245010376), Row(product_numeric_id=1236, rating=4.196122646331787)]"
169,"[Row(product_numeric_id=5512, rating=3.60933256149292), Row(product_numeric_id=11976, rating=3.319410800933838), Row(product_numeric_id=10531, rating=3.295517683029175), Row(product_numeric_id=2680, rating=3.1691033840179443), Row(product_numeric_id=9254, rating=3.149149179458618)]"
173,"[Row(product_numeric_id=1998, rating=4.972577095031738), Row(product_numeric_id=2577, rating=4.489981651306152), Row(product_numeric_id=6451, rating=4.413100719451904), Row(product_numeric_id=2295, rating=4.313510894775391), Row(product_numeric_id=1573, rating=4.119054794311523)]"
178,"[Row(product_numeric_id=4247, rating=4.6059112548828125), Row(product_numeric_id=1039, rating=4.5363030433654785), Row(product_numeric_id=2829, rating=4.464858531951904), Row(product_numeric_id=2748, rating=4.383925914764404), Row(product_numeric_id=6780, rating=4.370583534240723)]"
200,"[Row(product_numeric_id=685, rating=4.9671430587768555), Row(product_numeric_id=9136, rating=4.7386603355407715), Row(product_numeric_id=13062, rating=4.532543182373047), Row(product_numeric_id=13498, rating=4.487338066101074), Row(product_numeric_id=1488, rating=4.438718318939209)]"
203,"[Row(product_numeric_id=6471, rating=10.97713851928711), Row(product_numeric_id=647, rating=10.972103118896484), Row(product_numeric_id=14008, rating=10.843137741088867), Row(product_numeric_id=2611, rating=10.779952049255371), Row(product_numeric_id=4054, rating=10.512280464172363)]"
205,"[Row(product_numeric_id=1507, rating=4.893431186676025), Row(product_numeric_id=12858, rating=4.872281074523926), Row(product_numeric_id=8156, rating=4.697422504425049), Row(product_numeric_id=4109, rating=4.686682224273682), Row(product_numeric_id=19830, rating=4.681427478790283)]"
220,"[Row(product_numeric_id=9836, rating=5.600453853607178), Row(product_numeric_id=9580, rating=5.446825981140137), Row(product_numeric_id=12338, rating=5.124753475189209), Row(product_numeric_id=11057, rating=5.076266765594482), Row(product_numeric_id=1148, rating=5.075887203216553)]"
221,"[Row(product_numeric_id=1512, rating=4.9695940017700195), Row(product_numeric_id=6193, rating=4.42168664932251), Row(product_numeric_id=7465, rating=4.380395889282227), Row(product_numeric_id=6150, rating=4.303583145141602), Row(product_numeric_id=14275, rating=4.202314376831055)]"
229,"[Row(product_numeric_id=8894, rating=3.5042407512664795), Row(product_numeric_id=7814, rating=3.4169557094573975), Row(product_numeric_id=4187, rating=3.2015905380249023), Row(product_numeric_id=13074, rating=3.0776150226593018), Row(product_numeric_id=11872, rating=3.0457663536071777)]"
241,"[Row(product_numeric_id=12385, rating=1.236207127571106), Row(product_numeric_id=4190, rating=1.1766691207885742), Row(product_numeric_id=11362, rating=1.1588886976242065), Row(product_numeric_id=2949, rating=1.1582012176513672), Row(product_numeric_id=12468, rating=1.1581083536148071)]"
243,"[Row(product_numeric_id=1099, rating=1.034233570098877), Row(product_numeric_id=5963, rating=1.0339677333831787), Row(product_numeric_id=6352, rating=1.033867597579956), Row(product_numeric_id=5447, rating=1.019912838935852), Row(product_numeric_id=1786, rating=1.010342001914978)]"
251,"[Row(product_numeric_id=13054, rating=5.117154121398926), Row(product_numeric_id=3880, rating=4.961010456085205), Row(product_numeric_id=4273, rating=4.932406425476074), Row(product_numeric_id=11667, rating=4.928731441497803), Row(product_numeric_id=9105, rating=4.734910488128662)]"
255,"[Row(product_numeric_id=4427, rating=4.961010456085205), Row(product_numeric_id=6755, rating=4.934406280517578), Row(product_numeric_id=5447, rating=4.859225273132324), Row(product_numeric_id=9554, rating=4.802816390991211), Row(product_numeric_id=2119, rating=4.790834426879883)]"
265,"[Row(product_numeric_id=5612, rating=1.6163225173950195), Row(product_numeric_id=6699, rating=1.5510554313659668), Row(product_numeric_id=1112, rating=1.5435888767242432), Row(product_numeric_id=9580, rating=1.5091732740402222), Row(product_numeric_id=7526, rating=1.4605315923690796)]"
272,"[Row(product_numeric_id=4624, rating=3.423487424850464), Row(product_numeric_id=8226, rating=3.350635528564453), Row(product_numeric_id=12718, rating=3.2684059143066406), Row(product_numeric_id=8363, rating=3.2234699726104736), Row(product_numeric_id=8747, rating=3.208822250366211)]"
278,"[Row(product_numeric_id=4418, rating=5.179335117340088), Row(product_numeric_id=9836, rating=4.863618850708008), Row(product_numeric_id=10352, rating=4.674680709838867), Row(product_numeric_id=9903, rating=4.6339874267578125), Row(product_numeric_id=8555, rating=4.531099796295166)]"
283,"[Row(product_numeric_id=12566, rating=4.363368034362793), Row(product_numeric_id=4868, rating=4.292465686798096), Row(product_numeric_id=3539, rating=4.247747421264648), Row(product_numeric_id=1849, rating=4.22626256942749), Row(product_numeric_id=16347, rating=4.12459135055542)]"
